sblock_id,pop_n_family,pop_n_individuals,pop_f_below_1,pop_m_below_1,pop_f_1_to_4,pop_m_1_to_5,pop_f_5_to_11,pop_m_5_to_11,pop_f_12_to_17,pop_m_12_to_17,pop_f_18_to_59,pop_m_18_to_59,pop_f_60_plus,pop_m_60_plus
CXB-223_H108_06,131,622,8,10,43,41,70,71,40,45,153,118,10,14
CXB-223_H108_07,162,766,10,12,53,50,86,88,49,55,188,145,12,17
CXB-223_H108_08,195,923,12,14,64,60,104,106,59,66,227,174,15,21
CXB-223_H108_09,166,787,10,12,55,51,89,90,50,57,194,149,12,18
CXB-224_A109_01,126,593,7,7,41,41,62,65,41,45,142,123,10,12
CXB-224_A109_02,296,1399,16,16,96,97,146,152,97,105,334,289,23,28
CXB-224_A109_03,151,715,8,8,49,49,75,78,49,54,171,148,12,14
CXB-224_A109_04,130,613,7,7,42,42,64,67,42,46,146,127,10,12
CXB-224_A109_05,280,1323,15,15,90,91,138,144,92,99,316,274,22,27
CXB-224_A109_06,336,1586,18,18,108,110,165,173,110,119,379,328,26,32
CXB-224_A109_07,57,269,3,3,18,19,28,29,19,20,64,56,4,5
CXB-224_A109_08,74,350,4,4,24,24,36,38,24,26,84,72,6,7
CXB-224_B110_01,144,659,8,10,42,45,69,71,46,45,166,131,10,16
CXB-224_B110_02,60,277,3,4,18,19,29,30,19,19,70,55,4,7
CXB-224_B110_03,56,258,3,4,16,17,27,28,18,17,65,51,4,6
CXB-224_B110_04,254,1163,14,18,74,79,123,125,81,79,293,232,18,29
CXB-224_B110_05,104,477,6,7,30,32,50,51,33,32,120,95,7,12
CXB-224_B110_06,92,421,5,6,27,28,44,45,29,29,106,84,7,10
CXB-224_C111_01,90,427,7,5,30,29,47,49,31,32,100,84,6,7
CXB-224_C111_02,115,546,9,6,38,37,60,62,40,41,128,107,8,9
CXB-224_C111_03,159,753,12,8,53,52,83,86,55,56,176,147,11,13
CXB-224_C111_04,130,614,10,7,43,42,68,70,45,46,144,120,9,10
CXB-224_C111_05,212,1003,16,11,71,69,110,114,73,75,235,196,15,17
CXB-224_C111_06,163,770,12,9,54,53,85,88,56,58,180,151,12,13
CXB-224_D112_01,60,268,4,4,18,19,28,32,18,18,62,52,5,5
CXB-224_D112_02,113,508,8,8,35,37,53,62,34,34,118,99,10,10
CXB-224_D112_03,98,439,7,7,30,32,46,53,30,29,102,85,9,9
CXB-224_D112_04,106,475,8,7,33,34,50,58,32,32,110,92,9,10
CXB-224_D112_05,72,323,5,5,22,23,34,39,22,22,75,63,6,7
CXB-224_D112_06,157,706,11,11,49,51,74,86,48,47,164,137,14,14
CXB-224_D112_07,100,450,7,7,31,32,47,55,31,30,105,87,9,9
CXB-224_D112_08,50,223,4,3,15,16,23,27,15,15,52,43,4,5
CXB-232_A164_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-232_B165_01,162,587,14,9,47,44,50,62,36,32,140,124,10,18
CXB-232_B165_02,163,589,15,9,48,45,50,62,36,32,140,124,11,18
CXB-232_C166_01,204,939,22,19,72,75,94,101,40,54,229,203,11,18
CXB-232_C166_02,159,733,17,15,57,58,73,79,32,43,179,158,8,14
CXB-232_C166_03,56,259,6,5,20,21,26,28,11,15,63,56,3,5
CXB-232_E160_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-232_F161_01,34,152,2,4,12,13,13,10,9,12,37,35,2,3
CXB-232_H162_01,40,211,6,11,15,18,12,23,14,15,51,42,1,3
CXB-232_I163_01,51,238,9,5,19,17,19,14,4,12,74,58,3,4
CXB-233_A139_01,188,876,12,11,53,55,95,104,66,68,227,154,13,19
CXB-233_A139_02,193,899,12,11,54,56,98,107,68,70,233,158,14,19
CXB-233_A139_03,366,1704,23,21,103,107,185,202,128,133,441,300,26,36
CXB-233_A139_04,165,769,11,9,46,48,83,91,58,60,199,135,12,16
CXB-233_A139_05,173,805,11,10,48,50,87,95,61,63,208,142,12,17
CXB-233_B140_01,147,630,8,10,35,34,71,71,51,53,158,119,10,10
CXB-233_B140_02,245,1050,14,16,59,57,119,119,84,88,263,199,16,16
CXB-233_B140_03,248,1063,14,16,59,58,120,120,85,89,267,202,17,16
CXB-233_B140_04,350,1497,19,23,84,81,169,169,120,125,376,284,23,23
CXB-233_C141_01,325,1383,23,16,88,83,160,168,95,100,348,259,19,24
CXB-233_C141_02,255,1085,18,13,69,65,126,131,74,78,273,203,15,19
CXB-233_C141_03,299,1274,21,15,81,77,148,154,87,92,321,238,18,22
CXB-233_C141_04,121,515,8,6,33,31,60,62,35,37,130,96,7,9
CXB-233_D142_01,85,363,4,5,25,24,42,44,23,25,93,67,5,6
CXB-233_D142_02,125,538,6,8,37,36,62,64,35,37,138,100,7,9
CXB-233_D142_03,131,563,6,8,39,37,64,68,36,39,144,104,8,9
CXB-233_D142_04,266,1139,12,17,79,75,130,136,73,79,292,211,15,19
CXB-233_E143_01,101,526,6,8,29,32,60,63,33,40,134,104,8,10
CXB-233_E143_02,142,740,9,11,41,44,85,88,47,56,188,146,11,14
CXB-233_E143_03,97,508,6,8,28,31,58,61,32,38,129,100,8,9
CXB-233_E143_04,97,508,6,8,28,31,58,61,32,38,129,100,8,9
CXB-233_E143_05,222,1157,14,17,64,69,133,138,73,88,294,228,17,21
CXB-233_E143_06,27,141,2,2,8,8,16,17,9,11,36,28,2,3
CXB-233_F144_01,111,511,7,5,23,31,64,66,37,37,127,96,7,10
CXB-233_F144_02,205,941,13,9,43,58,118,121,69,67,234,177,13,18
CXB-233_F144_03,48,220,3,2,10,14,28,28,16,16,55,41,3,4
CXB-233_F144_04,167,768,11,7,35,47,97,99,56,55,191,145,10,15
CXB-233_F144_05,121,557,8,5,26,34,70,72,41,40,139,105,8,11
CXB-233_F144_06,89,407,6,4,19,25,51,53,30,29,101,77,6,8
CXB-233_G145_01,239,1096,12,11,56,57,126,131,82,72,290,208,23,27
CXB-233_G145_02,5,22,0,0,1,1,3,3,2,1,6,4,0,1
CXB-233_G145_03,153,704,8,7,36,37,81,84,53,46,186,134,15,18
CXB-233_G145_04,80,366,4,4,19,19,42,44,27,24,97,70,8,9
CXB-233_G145_05,11,51,1,1,3,3,6,6,4,3,13,10,1,1
